Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2018,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,2.679877
2007,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,10.776346
2008,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,7.11383
2009,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,3.5200419999999997
2010,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,13.05733
2011,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,6.020884
2012,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,6.779717999999999
2013,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,5.0
2014,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,5.8
2015,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,2.4
2016,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,5.6
2017,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,1.6
2018,A,N,SH_HAP_HBSAG,KG07,F,PER_100000_POP,3.096263
2007,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,4.492242
2008,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,4.441089
2009,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,6.139597
2010,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,9.521419
2011,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,10.22922
2012,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,10.048821
2013,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,10.7
2014,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,7.3
2015,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,8.0
2016,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,7.0
2017,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,6.2
2018,A,N,SH_HAP_HBSAG,KG07,M,PER_100000_POP,2.272417
2007,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,12.255614
2008,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,13.153626000000001
2009,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,11.182041
2010,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,6.530648
2011,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,10.259855
2012,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,8.790298
2013,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,6.6
2014,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,6.5
2015,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,5.8
2016,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,5.4
2017,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,4.8
2018,A,N,SH_HAP_HBSAG,KG08,,PER_100000_POP,6.334346
2007,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,9.181073
2008,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,8.612184
2009,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,7.080216
2010,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,6.056436
2011,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,8.891003999999999
2012,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,7.112005
2013,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,6.3
2014,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,3.9
2015,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,4.7
2016,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,4.2
2017,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,2.6
2018,A,N,SH_HAP_HBSAG,KG08,F,PER_100000_POP,4.864719
2007,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,15.445167999999999
2008,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,17.863614000000002
2009,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,15.432489000000002
2010,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,7.021521000000001
2011,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,11.674872
2012,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,10.522735
2013,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,7.0
2014,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,9.2
2015,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,6.9
2016,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,6.6
2017,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,7.1
2018,A,N,SH_HAP_HBSAG,KG08,M,PER_100000_POP,7.849328
2007,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,19.444499
